
    1.00000E-01      1.00000E-10       1.00000E+00 
    1.26667E-01      2.00000E-02       1.00000E+00 
    1.27484E-01      2.08493E-02       9.94764E-01 
    1.33010E-01      2.23356E-02       9.89556E-01 
    1.35473E-01      2.04665E-02       9.84375E-01 
    1.38941E-01      2.44484E-02       9.79221E-01 
    1.38640E-01      2.47943E-02       9.74095E-01 
    1.28969E-01      2.14460E-02       9.68995E-01 
    1.24439E-01      2.73091E-02       9.63921E-01 
    1.23100E-01      2.00000E-02       9.63921E-01 
    1.18850E-01     -9.62787E-11       0.00000E+00 
