   3.00000E-02   9.99333E+04   4.01704E-16   2.99417E+02   9.24343E+00  -6.71531E+05   5.36648E-22
   9.00000E-02   1.00700E+05   4.07998E-16   3.00458E+02   1.05921E+01   9.91457E+05   5.43168E-22
   1.50000E-01   9.84667E+04   3.93811E-16   2.98002E+02   1.17309E+01  -5.42138E+05   5.28602E-22
   2.10000E-01   1.01933E+05   4.09213E-16   3.00180E+02   5.48447E+00   4.28720E+05   5.45289E-22
   2.70000E-01   1.01250E+05   4.11292E-16   3.01751E+02   3.49738E+00  -2.08541E+05   5.45206E-22
   3.30000E-01   9.96333E+04   4.01635E-16   3.00318E+02   1.07111E+01   8.29445E+05   5.34945E-22
   3.90000E-01   9.83667E+04   3.94544E-16   2.97708E+02   4.42705E+00   1.37662E+05   5.30108E-22
   4.50000E-01   9.80333E+04   3.97491E-16   3.00904E+02   7.34891E+00   5.97319E+05   5.28396E-22
   5.10000E-01   1.01267E+05   4.05298E-16   2.97684E+02   8.90608E-01   6.01541E+04   5.44602E-22
   5.70000E-01   9.95667E+04   4.06199E-16   3.02165E+02   8.15674E+00   6.29973E+05   5.37718E-22
   6.30000E-01   9.98167E+04   4.04001E-16   3.00329E+02   3.26255E+00  -9.96411E+04   5.38078E-22
   6.90000E-01   9.97333E+04   3.98247E-16   2.97035E+02   2.20264E+00   2.09503E+05   5.36297E-22
   7.50000E-01   1.00950E+05   4.05012E-16   2.98137E+02   2.65203E+00  -1.38446E+05   5.43391E-22
   8.10000E-01   1.01383E+05   4.12569E-16   3.03290E+02   3.61584E+00   4.09500E+05   5.44126E-22
   8.70000E-01   9.94500E+04   4.03329E-16   3.01328E+02   4.30980E+00   2.35682E+05   5.35402E-22
   9.30000E-01   1.01433E+05   4.11886E-16   3.03122E+02   2.99662E+00  -5.48314E+04   5.43526E-22
   9.90000E-01   9.71250E+04   3.86958E-16   2.97393E+02   1.87929E+01   1.60661E+06   5.20466E-22
